City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,80.2,clear sky,-23.1203,-134.9692,Pension Maro'i
3,Atuona,PF,78.21,clear sky,-9.8,-139.0333,Villa Enata
9,Antsohihy,MG,74.66,moderate rain,-14.8796,47.9875,Hotel de Ville
13,Puerto Ayora,EC,84.2,light rain,-0.7393,-90.3518,Castillo Galapagos
14,Ahipara,NZ,72.82,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
18,Harper,LR,78.55,clear sky,4.375,-7.7169,Screensaver
19,Brazzaville,CG,80.6,few clouds,-4.2658,15.2832,Hotel Murex
31,Bodden Town,KY,82.4,scattered clouds,19.2833,-81.25,Will T Place
35,Arraial Do Cabo,BR,76.3,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
36,New Norfolk,AU,82.0,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
37,Hobart,AU,84.2,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
39,Tautira,PF,87.8,few clouds,-17.7333,-149.15,Pension Oaoa
40,San Patricio,US,78.8,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
43,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
45,Georgetown,MY,78.8,scattered clouds,5.4112,100.3354,Cititel Penang
50,Mount Isa,AU,86.0,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
55,Chuy,UY,72.66,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
58,Lorengau,PG,84.24,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
62,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
69,Saint-Joseph,RE,78.8,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
71,Lamu,KE,76.57,broken clouds,-2.2717,40.902,Lamu House
72,Estelle,US,73.99,broken clouds,29.8458,-90.1067,Ohio
73,Hithadhoo,MV,81.61,overcast clouds,-0.6,73.0833,Scoop Guest House
75,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Pirineos
